[INFO] [1788235458.912838211] [plain_slam_web_bridge]: display-only bridge: /go2w/slam/map_3d + /go2w/slam/aligned_scan -> /home/mxt/robotscene/outputs/autonomous_search/runtime/slam_map_3d.json (target_frame=pslam_odom, odom_topic=/go2w/slam/odom_base)
[INFO] [1788236053.016151067] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236052.842 target=pslam_odom points=7686 pose=(1.047,-3.454,-0.160) dyaw=0.0001 stationary=True accumulated=5146 dropped=none
[INFO] [1788236059.013153561] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236058.842 target=pslam_odom points=7689 pose=(1.047,-3.453,-0.160) dyaw=-0.0001 stationary=True accumulated=5153 dropped=none
[INFO] [1788236065.019638095] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236064.843 target=pslam_odom points=7687 pose=(1.047,-3.454,-0.159) dyaw=-0.0000 stationary=True accumulated=5157 dropped=none
[INFO] [1788236071.010942842] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236070.842 target=pslam_odom points=7682 pose=(1.048,-3.454,-0.160) dyaw=-0.0002 stationary=True accumulated=5163 dropped=none
[INFO] [1788236077.015860953] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236076.842 target=pslam_odom points=7682 pose=(1.047,-3.454,-0.159) dyaw=0.0000 stationary=True accumulated=5165 dropped=none
[INFO] [1788236083.013627715] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236082.842 target=pslam_odom points=7687 pose=(1.046,-3.454,-0.160) dyaw=-0.0002 stationary=True accumulated=5167 dropped=none
[INFO] [1788236089.016095005] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236088.843 target=pslam_odom points=7687 pose=(1.047,-3.453,-0.160) dyaw=-0.0001 stationary=True accumulated=5172 dropped=none
[INFO] [1788236095.016133204] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236094.843 target=pslam_odom points=7686 pose=(1.048,-3.453,-0.160) dyaw=-0.0001 stationary=True accumulated=5173 dropped=none
[INFO] [1788236101.010639631] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236100.843 target=pslam_odom points=7683 pose=(1.047,-3.454,-0.160) dyaw=0.0001 stationary=True accumulated=5179 dropped=none
[INFO] [1788236107.010601639] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236106.843 target=pslam_odom points=7684 pose=(1.047,-3.454,-0.160) dyaw=0.0000 stationary=True accumulated=5187 dropped=none
[INFO] [1788236113.012177444] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236112.843 target=pslam_odom points=7683 pose=(1.047,-3.454,-0.159) dyaw=-0.0001 stationary=True accumulated=5201 dropped=none
[INFO] [1788236119.014842934] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236118.843 target=pslam_odom points=7681 pose=(1.047,-3.453,-0.160) dyaw=-0.0000 stationary=True accumulated=5208 dropped=none
[INFO] [1788236125.010096987] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236124.843 target=pslam_odom points=7681 pose=(1.046,-3.452,-0.159) dyaw=-0.0000 stationary=True accumulated=5212 dropped=none
[INFO] [1788236131.010718710] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236130.843 target=pslam_odom points=7682 pose=(1.046,-3.453,-0.159) dyaw=-0.0001 stationary=True accumulated=5217 dropped=none
[INFO] [1788236137.009515494] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236136.843 target=pslam_odom points=7682 pose=(1.046,-3.453,-0.159) dyaw=0.0000 stationary=True accumulated=5221 dropped=none
[INFO] [1788236143.014235699] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236142.843 target=pslam_odom points=7680 pose=(1.046,-3.452,-0.160) dyaw=-0.0001 stationary=True accumulated=5225 dropped=none
[INFO] [1788236149.012135714] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236148.843 target=pslam_odom points=7683 pose=(1.045,-3.454,-0.160) dyaw=-0.0002 stationary=True accumulated=5230 dropped=none
